Country,Education,Jobs,Income,Safety,Health,Environment,Civic engagement,Accessibility to services,Housing,Community
Colombia,4.1,0.8,0.8,1.7,4,5.5,2.2,2.6,2.3,3.5
Colombia,3.4,3.1,0.7,3.6,5,5.1,2.6,2.2,1.6,3.7
Colombia,4.3,2.4,1,6,6.2,4.5,5.1,2.5,1.3,6.6
Colombia,2.3,1.5,0.4,3.6,5.1,5.2,6.6,0.6,0,5.2
Colombia,2.5,1.1,0.5,2.9,5.3,5.2,3.8,1,1.2,1.8
Colombia,4.5,2.5,1.1,0,4.2,7,2.1,2.8,1.6,3
Costa Rica,1.7,1.9,1.5,7.6,9.5,5.4,5.9,5.1,0.9,7.1
Costa Rica,0.6,0.9,0.7,7.9,8.9,4.7,3.4,3.8,0.5,6.6
Costa Rica,0.6,3,0.7,1.4,10,5.2,3.3,4,0.4,5.9
Costa Rica,0,2.4,0.6,2.1,10,5.8,3,3.2,0.3,5.8
Czech Republic,10,9.6,4.1,9.7,5.6,5.5,5.3,6.9,2.9,7.7
Czech Republic,10,9.3,3.2,9.7,3.6,6,4.4,5.1,3.4,7.5
Czech Republic,9.8,9.3,2.8,9.7,3.7,6.7,3.9,5.5,4,8.3
Czech Republic,8.9,8.2,2.5,9.6,1.3,6.4,1.9,5.4,3.4,6.7
Czech Republic,10,9.1,2.7,9.8,3.7,5.9,4.2,4.9,4,8.2
Czech Republic,10,9.1,2.8,9.7,4.2,5.6,4.2,5.4,3.4,8.6
Czech Republic,10,8.9,2.6,9.7,3.3,4.4,3.9,5,3.4,8.1
Czech Republic,9.8,8,2.6,9.7,2,2.3,2.7,5.4,2.9,8.3
Denmark,8.6,8.4,3.7,9.8,7.4,7.9,9.3,9.5,4.6,8.9
Denmark,7.1,8.3,3.5,9.7,6.5,8.1,9,8.9,6.2,8.5
Denmark,7.4,8.6,3.3,9.8,7.6,7.7,9,7.9,6.2,9.5
Denmark,8,8.5,3.4,9.8,7.8,8.1,9.4,8.8,6.2,9.1
Denmark,7.4,8.3,3.3,9.8,7.4,8.4,8.9,8.1,6.8,9.2
Estonia,9.6,8.6,2.7,9.5,5.8,9.2,5.2,6.3,3,8.1
Estonia,8.1,7.9,2,9.8,4.7,9.2,4.2,4.8,5.3,7.2
Estonia,8.3,7.7,2,10,4.8,9.4,4.5,5.2,4.9,8.4
Estonia,7.7,7.7,2.2,9.8,4,9.9,3.9,4.7,5.1,0
Estonia,9.5,4.8,1.7,8.4,2.3,9.9,1,4.7,2.8,0
Finland,9.3,7.1,3.4,9.9,8.2,10,5.5,7.2,6,8.6
Finland,8.8,7.6,4.2,9.9,8.2,9.7,5.5,7.7,5.1,9.7
Finland,8.9,7.2,3.6,9.9,7.7,10,5.3,7.1,6.8,9.3
Finland,9.2,6.8,3.4,9.9,7.4,10,4.7,7,6.2,9.7
Finland,8.4,10,4.1,9.1,9.4,10,0.8,4.8,7.4,6.1
France,8,6.7,4.7,9.6,9,6.9,8.1,9.6,3.1,7.2
France,7.7,6.9,4,9.8,8.3,8.1,8.2,8.2,5.8,6.3
France,7.8,6.7,3.9,9.8,7.9,8.3,8,7.2,6.1,8.5
France,7.8,6.7,3.9,9.8,7.6,7.9,8.4,7.6,5.6,8.4
France,7.4,5.3,3.5,9.7,6.5,7.2,7.8,9.1,5.4,8.5
France,7.6,6.1,3.8,9.8,7.5,7.9,7.9,8.4,5.8,7.8
France,8.5,7.4,3.8,9.8,8.9,8.5,8.9,7.8,5.7,7.9
France,8.7,7.4,3.8,9.8,8.3,8.7,9,6.5,6.5,9.2
