Country,Education,Jobs,Income,Safety,Health,Environment,Civic engagement,Accessibility to services,Housing,Community
Turkey,1.4,4.2,0.7,7.9,4.5,2.8,10,3.7,4.1,3.7
Turkey,1.7,1.8,1.1,7.7,5.1,2.2,10,4.4,3.6,3.6
Turkey,1.1,3.7,0.8,7.4,5.6,0,10,4,3.1,2.9
Turkey,0,4.6,0.5,7,3.9,0,10,4.1,3.1,1.7
Turkey,1.8,3.7,0.8,8.8,4.6,0,10,4.6,2.9,5.3
Turkey,1.1,3.6,0.6,8.3,4.7,1.1,10,4.5,2.1,5.6
Turkey,3.4,2,1,8.6,5.8,2.8,10,4.8,3.7,4.6
Turkey,0,3.9,0.5,7.5,5.2,1.3,10,4.3,2.8,1.8
Turkey,1.7,3.1,0.8,7.2,5.8,0,9.7,4.2,3.4,3.6
Turkey,0.6,1.8,0.3,7,4.7,0.6,9.6,4.4,2.4,2.8
Turkey,0,0.5,0.2,8.4,5.1,0,9.7,4.1,2.1,0.8
Turkey,0.1,2,0.4,7.8,4.8,2.2,9.5,3.9,2.6,0.5
Turkey,0.5,2.2,0.4,8.4,5.2,1.1,10,4.2,2.2,0
Turkey,0.9,2.7,0.6,8.8,4.9,0.9,9.6,3.7,3.9,6.9
Turkey,0,5.6,0.6,7.5,5.3,3.8,9.3,3.6,3.2,7.7
Turkey,0,4.5,0.5,7.7,5.2,3.8,9.9,3.8,2.3,5.8
Turkey,1,3.8,0.7,8.3,6.7,3.6,9.1,4.1,2.9,4.3
Turkey,0.7,2.6,0.2,8.4,5.2,1.2,9.4,4.2,0.8,0
Turkey,0,1.5,0,7,4.9,0.8,7.7,3.9,0,0
Turkey,1.2,2.6,0.2,8.4,6.2,1.3,9.1,4.2,2.3,0
Turkey,0,0,0,8.6,4.8,1.1,8.8,4.2,0,0
Turkey,0,2.7,0.2,8.1,3.9,0,9.1,4.5,0.2,0
Turkey,0,1.2,0,8.2,5,0,9.2,4.6,0,0
Turkey,0,0,0,9,6.4,0,9.7,4.5,0,0
United Kingdom,7.3,7.4,3.4,9.8,5.3,8.3,4.6,6.8,7.1,8.1
United Kingdom,7.5,8.2,3.7,9.6,5.6,7.6,4.9,6.7,7,8.9
United Kingdom,7.4,8.4,3.6,9.8,6.1,7.1,4.6,6.8,6.7,5.6
United Kingdom,7.4,8.4,3.7,9.8,6.7,7.3,5.3,6.8,7,5.7
United Kingdom,7.2,8.2,3.6,9.6,6.2,7.4,4.7,7.2,6.6,8.4
United Kingdom,7.7,9.2,4.6,9.8,7.8,7.3,5.5,7,6.7,7.9
United Kingdom,8.9,8.2,6.4,9.7,8.1,6.8,5.3,7.6,4.8,6.4
United Kingdom,8.2,9.2,5.1,9.9,8.1,7.5,6,7.2,6.5,8.1
United Kingdom,8.1,9.3,4.3,9.8,8,7.9,6.4,6.6,7,6.8
United Kingdom,7.2,8.4,3.4,9.9,6.1,8.2,5.1,6.1,7.2,6.5
United Kingdom,7.7,8.5,3.9,9.7,5,9.2,5.5,6.7,5.6,8.3
United Kingdom,7.4,8.1,3.4,9.7,6.6,8.5,4,6.7,5.1,7.1
United States,9,7.4,6.9,7.5,1,8.5,4.4,7.8,10,7.7
United States,9.9,6.8,10,8.2,4.5,9.4,5.6,8,6.9,0
United States,8.8,7.8,7.2,8.1,4.9,8.8,5,7.8,7.8,10
United States,9,7.8,7,7.1,1.7,8.5,2.8,7.5,9.3,7.3
United States,8.4,6.4,10,8.5,6.7,7.3,5.6,8.4,5.5,7
United States,9.7,8.3,9.6,8.6,5.8,9.8,7.4,8.7,8.8,8.9
United States,9.6,7.4,10,9,5.8,8.9,6.2,8.6,8.9,7.3
United States,9.3,8.4,8.5,8,3.3,8.7,6.1,9.1,10,1.1
United States,9.7,8.3,10,2.1,2.8,8.3,4.6,8.5,7.6,10
United States,9.2,7.6,8.2,8.4,5.5,9.4,6.3,8.4,8.4,7.7
United States,9.1,7.9,7.5,7.6,3.3,8.4,5.5,8.4,8.8,7.4
United States,9.9,6.9,9,9.3,7.2,10,3.1,8.2,5.2,0
United States,9.5,8.5,7.3,9.4,5.4,9.5,5.5,7.2,8.7,4.6
United States,9.4,7.6,9.2,7.6,4.5,7.8,5.2,8.7,8.6,6
United States,9.3,8.1,7.7,8,2.6,8.3,4,8,9.5,9
United States,9.8,9.6,8.2,9.1,4.5,8.4,6.6,7.5,10,6.8
United States,9.5,9.6,8.4,9.1,3.8,8.7,5,7.6,9.8,8.7
United States,9.1,7,6.8,8.1,1.3,8.4,4.8,7.4,9.6,8.4
United States,8.8,6.7,7.6,5.7,1.3,8.8,4.6,7.6,8.7,3.7
United States,9.9,8.4,8,9.6,4.2,10,7.3,6.5,10,5.3
United States,9.5,8.3,10,7.6,4.5,8.7,6.2,8.8,9.3,8.5
United States,9.7,7.8,10,9.4,5.9,9.3,6.4,8.4,8.6,10
United States,9.6,7,7.7,8,3.5,8.7,6.8,7.9,10,4.7
United States,9.9,8.9,9.1,9.1,6.1,9,8.2,7.8,9.9,9.3
United States,8.8,6.9,6.1,7.1,0,8.8,3.7,8.3,9.1,9.8
United States,9.5,8.3,7.6,6.8,2.7,8.4,4.9,7.8,9.9,8.1
United States,10,9.5,7.8,8.7,4.3,10,6.6,6,10,10
United States,9.6,10,8.7,9.1,4.8,8.9,5.9,8,9.8,8.2
United States,8.6,6.2,8.1,8.5,4.1,9.2,4.9,8.3,7.2,7.2
United States,9.9,9,10,9.8,4.7,9.6,7.1,8.8,10,5.2
United States,9.6,7.2,10,9.1,5.2,8.6,7.1,8.7,8.3,8.2
United States,8.7,6.3,6.8,7.9,3.1,10,3.9,6.4,8.6,7.6
United States,9.1,6.4,10,8.9,5.8,8.7,4.5,8.3,7.5,7.3
United States,9.2,7.5,7.4,7.8,3.8,8.9,6.2,7.9,9.4,6.3
United States,10,9.4,9.2,8.9,3.9,9.9,4.7,7.4,10,8.9
United States,9.6,7.8,7.9,8.1,2.6,8.3,5.3,7.6,10,9
United States,9,7.7,7.5,8,1.6,8.5,2.5,7.8,8.8,8.8
United States,9.4,7.9,8.2,9.2,5.7,9.3,7.1,8,8.1,8.1
United States,9.6,7.3,9.1,7.9,4,8.4,6.2,8.1,10,9.3
United States,9.4,8.3,8.9,9.2,4,9,4.8,8.9,8.9,9.2
United States,9.1,8.2,7.1,7.1,2.8,8.9,4.7,8.2,9.7,6
United States,9.8,10,8.8,8.8,3.5,9.4,5,7.3,10,10
United States,9.2,7.9,7.8,7.4,1.5,8.7,3.6,8.3,9.4,7.7
United States,8.5,7.2,8.4,8.2,4.2,8.6,3.7,8.4,6.8,7
United States,9.7,9,7.6,9.2,5.6,9,5.7,8.5,7.1,9.7
United States,9.8,8.9,8.8,9.4,5,9.7,6.9,6.8,10,10
United States,9.5,8.3,9.3,8.4,5.1,9.1,6.6,8.5,9.4,8.3
United States,9.5,7.6,10,9,6.1,9.4,7.2,8,8.1,7.3
United States,9.2,7,6.6,8.3,0.7,9,3.1,7.2,10,10
United States,9.8,9,8.3,8.6,4.8,8.6,7.2,7.5,10,8.7
United States,10,8.3,10,9.2,3.5,10,4.7,5.8,10,9.7
